begin,open,close,high,low,value,volume,end
2025-08-20 06:50:00,127.05,127.05,127.05,127.05,51582.3,406,2025-08-20 06:59:59
2025-08-20 07:00:00,127.2,127.3,127.3,126.95,573111.85,4503,2025-08-20 07:09:59
2025-08-20 07:10:00,127.3,127.15,127.3,127.1,154322.5,1213,2025-08-20 07:19:59
2025-08-20 07:20:00,127.25,127.1,127.25,127.1,298242.85000000003,2344,2025-08-20 07:29:59
2025-08-20 07:30:00,127.1,127.1,127.1,127.0,277519.75,2185,2025-08-20 07:39:59
2025-08-20 07:40:00,127.1,127.1,127.1,127.0,260124.10000000003,2048,2025-08-20 07:49:59
2025-08-20 07:50:00,127.1,127.1,127.1,127.05,39900.05,314,2025-08-20 07:59:59
2025-08-20 08:00:00,127.05,127.0,127.1,127.0,199040.05,1567,2025-08-20 08:09:59
2025-08-20 08:10:00,127.0,127.0,127.05,126.95,126747.8,998,2025-08-20 08:19:59
2025-08-20 08:20:00,127.0,127.1,127.1,127.0,511402.25000000006,4025,2025-08-20 08:29:59
2025-08-20 08:30:00,127.1,127.1,127.1,127.1,7753.1,61,2025-08-20 08:39:59
2025-08-20 08:40:00,127.1,127.1,127.1,127.05,28335.45,223,2025-08-20 08:49:59
2025-08-20 08:50:00,127.05,127.05,127.1,127.05,43201.2,340,2025-08-20 08:59:59
2025-08-20 09:00:00,127.05,127.1,127.1,126.95,232675.85,1832,2025-08-20 09:09:59
2025-08-20 09:10:00,127.0,127.2,127.2,127.0,169943.05000000002,1337,2025-08-20 09:19:59
2025-08-20 09:20:00,127.2,127.25,127.3,127.15,766509.4,6027,2025-08-20 09:29:59
2025-08-20 09:30:00,127.25,127.25,127.25,127.15,36647.55,288,2025-08-20 09:39:59
2025-08-20 09:40:00,127.25,127.1,127.3,127.1,1581308.05,12435,2025-08-20 09:49:59
2025-08-20 09:50:00,127.15,127.2,127.3,127.1,410441.7,3228,2025-08-20 09:59:59
2025-08-20 10:00:00,127.3,127.05,127.3,126.95,2046036.6500000001,16105,2025-08-20 10:09:59
2025-08-20 10:10:00,127.0,127.0,127.1,126.85,472706.2,3722,2025-08-20 10:19:59
2025-08-20 10:20:00,126.9,126.9,127.0,126.7,1811837.5999999996,14286,2025-08-20 10:29:59
2025-08-20 10:30:00,126.9,126.85,126.9,126.7,541721.2,4275,2025-08-20 10:39:59
2025-08-20 10:40:00,126.85,126.7,126.85,126.7,270892.9,2138,2025-08-20 10:49:59
2025-08-20 10:50:00,126.85,126.95,126.95,126.7,743683.0,5860,2025-08-20 10:59:59
2025-08-20 11:00:00,126.85,126.9,127.1,126.8,2172205.6,17102,2025-08-20 11:09:59
2025-08-20 11:10:00,127.0,127.1,127.1,126.9,431552.1,3397,2025-08-20 11:19:59
2025-08-20 11:20:00,127.1,127.1,127.35,127.05,1724854.0999999999,13554,2025-08-20 11:29:59
2025-08-20 11:30:00,127.05,127.2,127.2,127.05,74018.15000000001,582,2025-08-20 11:39:59
2025-08-20 11:40:00,127.1,126.95,127.2,126.85,1039300.8499999997,8189,2025-08-20 11:49:59
2025-08-20 11:50:00,126.95,127.0,127.0,126.85,638613.8,5029,2025-08-20 11:59:59
2025-08-20 12:00:00,127.0,127.25,127.35,126.95,837054.3000000003,6583,2025-08-20 12:09:59
2025-08-20 12:10:00,127.35,127.1,127.35,127.1,311116.6999999999,2445,2025-08-20 12:19:59
2025-08-20 12:20:00,127.2,127.05,127.2,127.0,684590.3999999999,5388,2025-08-20 12:29:59
2025-08-20 12:30:00,127.05,127.0,127.05,126.9,461888.3,3637,2025-08-20 12:39:59
2025-08-20 12:40:00,126.9,127.15,127.15,126.9,482534.25,3798,2025-08-20 12:49:59
2025-08-20 12:50:00,127.15,127.05,127.15,127.0,330826.60000000003,2603,2025-08-20 12:59:59
2025-08-20 13:00:00,127.0,126.95,127.05,126.85,1284842.05,10125,2025-08-20 13:09:59
2025-08-20 13:10:00,127.05,127.0,127.1,126.95,49417.15,389,2025-08-20 13:19:59
2025-08-20 13:20:00,127.0,127.0,127.1,127.0,262512.5,2067,2025-08-20 13:29:59
2025-08-20 13:30:00,126.95,126.95,127.0,126.95,318106.25000000006,2505,2025-08-20 13:39:59
2025-08-20 13:40:00,127.0,126.9,127.0,126.85,146954.9,1158,2025-08-20 13:49:59
2025-08-20 13:50:00,126.95,127.0,127.0,126.85,1086613.95,8559,2025-08-20 13:59:59
2025-08-20 14:00:00,127.0,126.85,127.05,126.85,802812.6499999999,6322,2025-08-20 14:09:59
2025-08-20 14:10:00,126.9,126.95,126.95,126.8,412049.85000000003,3247,2025-08-20 14:19:59
2025-08-20 14:20:00,126.95,126.75,126.95,126.75,311752.8,2459,2025-08-20 14:29:59
2025-08-20 14:30:00,126.7,126.6,126.7,126.5,1901078.1,15011,2025-08-20 14:39:59
2025-08-20 14:40:00,126.6,126.65,126.65,126.5,641741.2,5070,2025-08-20 14:49:59
2025-08-20 14:50:00,126.65,126.6,126.65,126.5,147540.75000000003,1166,2025-08-20 14:59:59
2025-08-20 15:00:00,126.55,126.3,126.65,126.15,4474622.8500000015,35401,2025-08-20 15:09:59
2025-08-20 15:10:00,126.25,126.15,126.45,126.1,906363.6000000001,7179,2025-08-20 15:19:59
2025-08-20 15:20:00,126.2,126.45,126.45,126.15,541148.0,4284,2025-08-20 15:29:59
2025-08-20 15:30:00,126.35,126.7,126.7,126.35,1274211.75,10065,2025-08-20 15:39:59
2025-08-20 15:40:00,126.65,126.7,126.7,126.6,196165.95,1549,2025-08-20 15:49:59
2025-08-20 15:50:00,126.6,126.7,126.7,126.55,473841.70000000007,3743,2025-08-20 15:59:59
2025-08-20 16:00:00,126.7,126.7,126.7,126.55,399149.5,3151,2025-08-20 16:09:59
2025-08-20 16:10:00,126.7,126.65,126.7,126.55,212107.44999999998,1676,2025-08-20 16:19:59
2025-08-20 16:20:00,126.65,126.5,126.7,126.45,185110.25000000003,1463,2025-08-20 16:29:59
2025-08-20 16:30:00,126.45,126.2,126.45,126.1,2245770.45,17787,2025-08-20 16:39:59
2025-08-20 16:40:00,126.25,126.4,126.4,126.15,148928.84999999998,1179,2025-08-20 16:49:59
2025-08-20 16:50:00,126.25,126.2,126.3,126.2,475613.15,3768,2025-08-20 16:59:59
2025-08-20 17:00:00,126.25,126.25,126.3,126.2,120038.55,951,2025-08-20 17:09:59
2025-08-20 17:10:00,126.25,126.35,126.35,126.2,281918.64999999997,2233,2025-08-20 17:19:59
2025-08-20 17:20:00,126.35,126.2,126.35,126.15,208849.1,1654,2025-08-20 17:29:59
2025-08-20 17:30:00,126.2,126.3,126.3,126.15,267948.5,2123,2025-08-20 17:39:59
2025-08-20 17:40:00,126.3,126.3,126.3,126.25,34978.95,277,2025-08-20 17:49:59
2025-08-20 17:50:00,126.3,126.2,126.3,126.2,343122.85000000003,2718,2025-08-20 17:59:59
2025-08-20 18:00:00,126.25,126.2,126.25,126.2,261925.15,2075,2025-08-20 18:09:59
2025-08-20 18:10:00,126.25,126.65,126.85,126.25,3634127.9,28701,2025-08-20 18:19:59
2025-08-20 18:20:00,126.8,126.9,126.95,126.65,2476753.1,19529,2025-08-20 18:29:59
