begin,open,close,high,low,value,volume,end
2025-08-20 09:50:00,1.17,1.17,1.17,1.17,6123780.0,5234000,2025-08-20 09:59:59
2025-08-20 10:00:00,1.17,1.0145,1.17,1.0137,163207940.99999997,153852000,2025-08-20 10:09:59
2025-08-20 10:10:00,1.014,1.0036,1.0324,1.002,88892107.1,87439000,2025-08-20 10:19:59
2025-08-20 10:20:00,1.0036,0.975,1.01,0.9672,86394611.39999999,87257000,2025-08-20 10:29:59
2025-08-20 10:30:00,0.975,0.975,0.988,0.97,64372542.50000001,65829000,2025-08-20 10:39:59
2025-08-20 10:40:00,0.976,0.9944,0.9986,0.974,31621520.200000003,32049000,2025-08-20 10:49:59
2025-08-20 10:50:00,0.994,0.981,0.9962,0.976,28064311.700000007,28479000,2025-08-20 10:59:59
2025-08-20 11:00:00,0.981,0.9685,0.985,0.967,34116714.699999996,34948000,2025-08-20 11:09:59
2025-08-20 11:10:00,0.9683,0.96,0.972,0.9565,34953006.10000001,36287000,2025-08-20 11:19:59
2025-08-20 11:20:00,0.96,0.9367,0.966,0.925,84331697.90000007,89094000,2025-08-20 11:29:59
2025-08-20 11:30:00,0.9367,0.9264,0.9402,0.911,51619057.49999999,55948000,2025-08-20 11:39:59
2025-08-20 11:40:00,0.9264,0.9296,0.9356,0.9252,22109088.0,23748000,2025-08-20 11:49:59
2025-08-20 11:50:00,0.9293,0.9411,0.9478,0.9185,75564748.60000001,81101000,2025-08-20 11:59:59
2025-08-20 12:00:00,0.9408,0.9386,0.945,0.9344,36484147.49999999,38723000,2025-08-20 12:09:59
2025-08-20 12:10:00,0.9408,0.9566,0.9573,0.9408,52640274.00000002,55437000,2025-08-20 12:19:59
2025-08-20 12:20:00,0.9568,0.9651,0.9779,0.952,89889075.60000001,93118000,2025-08-20 12:29:59
2025-08-20 12:30:00,0.9629,0.9637,0.9791,0.96,72459104.00000001,74579000,2025-08-20 12:39:59
2025-08-20 12:40:00,0.964,0.9634,0.9677,0.9582,63047498.89999999,65514000,2025-08-20 12:49:59
2025-08-20 12:50:00,0.9634,0.9684,0.9688,0.96,25196198.3,26108000,2025-08-20 12:59:59
2025-08-20 13:00:00,0.9684,0.9676,0.97,0.9656,31187339.499999993,32187000,2025-08-20 13:09:59
2025-08-20 13:10:00,0.9678,0.9633,0.968,0.9631,11364164.999999998,11768000,2025-08-20 13:19:59
2025-08-20 13:20:00,0.9633,0.9661,0.9671,0.961,13169886.5,13664000,2025-08-20 13:29:59
2025-08-20 13:30:00,0.9665,0.968,0.968,0.9633,9202129.200000001,9516000,2025-08-20 13:39:59
2025-08-20 13:40:00,0.968,0.9671,0.968,0.9661,6156976.1,6366000,2025-08-20 13:49:59
2025-08-20 13:50:00,0.9673,0.9632,0.968,0.9592,17075605.700000003,17700000,2025-08-20 13:59:59
2025-08-20 14:00:00,0.9632,0.9646,0.9673,0.9581,20687099.299999997,21448000,2025-08-20 14:09:59
2025-08-20 14:10:00,0.9645,0.9641,0.9648,0.9587,19419156.200000003,20195000,2025-08-20 14:19:59
2025-08-20 14:20:00,0.9635,0.9536,0.9636,0.9511,26366870.299999997,27563000,2025-08-20 14:29:59
2025-08-20 14:30:00,0.9532,0.9592,0.9611,0.9532,13210396.2,13814000,2025-08-20 14:39:59
2025-08-20 14:40:00,0.9592,0.961,0.9632,0.9464,23515041.0,24624000,2025-08-20 14:49:59
2025-08-20 14:50:00,0.9615,0.966,0.9664,0.961,20240540.300000004,20991000,2025-08-20 14:59:59
2025-08-20 15:00:00,0.9661,0.9661,0.9666,0.9638,9241418.399999999,9573000,2025-08-20 15:09:59
2025-08-20 15:10:00,0.9661,0.9685,0.969,0.966,21345466.000000004,22061000,2025-08-20 15:19:59
2025-08-20 15:20:00,0.9685,0.9686,0.9689,0.966,18898664.999999996,19527000,2025-08-20 15:29:59
2025-08-20 15:30:00,0.9686,0.9684,0.974,0.964,121845232.00000006,125697000,2025-08-20 15:39:59
2025-08-20 15:40:00,0.9669,0.9735,0.9745,0.9664,16611422.5,17103000,2025-08-20 15:49:59
2025-08-20 15:50:00,0.9735,0.974,0.9755,0.9713,11920909.700000001,12238000,2025-08-20 15:59:59
2025-08-20 16:00:00,0.9741,0.9723,0.9748,0.968,11097397.200000001,11428000,2025-08-20 16:09:59
