begin,open,close,high,low,value,volume,end
2025-10-05 09:50:00,114.14,114.14,114.14,114.14,691688.4000000003,6060,2025-10-05 09:59:59
2025-10-05 10:00:00,114.15,113.95,114.29,113.87,26892851.099999998,235910,2025-10-05 10:09:59
2025-10-05 10:10:00,113.93,113.89,113.95,113.66,21968957.5,193060,2025-10-05 10:19:59
2025-10-05 10:20:00,113.86,113.98,114.02,113.86,6185153.0,54280,2025-10-05 10:29:59
2025-10-05 10:30:00,113.98,114.02,114.09,113.93,5631315.2,49390,2025-10-05 10:39:59
2025-10-05 10:40:00,114.02,114.09,114.09,114.01,5333302.200000001,46760,2025-10-05 10:49:59
2025-10-05 10:50:00,114.09,114.05,114.16,114.05,5765813.9,50530,2025-10-05 10:59:59
2025-10-05 11:00:00,114.03,113.96,114.07,113.95,4757170.699999999,41730,2025-10-05 11:09:59
2025-10-05 11:10:00,113.99,114.05,114.07,113.97,2873237.3,25200,2025-10-05 11:19:59
2025-10-05 11:20:00,114.05,114.15,114.15,114.0,4694374.5,41140,2025-10-05 11:29:59
2025-10-05 11:30:00,114.15,114.08,114.15,114.05,6762527.1000000015,59250,2025-10-05 11:39:59
2025-10-05 11:40:00,114.08,114.23,114.23,114.08,5960640.8,52210,2025-10-05 11:49:59
2025-10-05 11:50:00,114.23,114.24,114.3,114.2,26750325.900000002,234110,2025-10-05 11:59:59
2025-10-05 12:00:00,114.24,114.24,114.26,114.22,5579693.799999999,48840,2025-10-05 12:09:59
2025-10-05 12:10:00,114.25,114.23,114.26,114.21,9356393.399999999,81900,2025-10-05 12:19:59
2025-10-05 12:20:00,114.23,114.16,114.23,114.13,4221456.600000001,36980,2025-10-05 12:29:59
2025-10-05 12:30:00,114.16,114.1,114.17,114.0,16110575.7,141250,2025-10-05 12:39:59
2025-10-05 12:40:00,114.11,114.19,114.21,114.09,1647238.3,14430,2025-10-05 12:49:59
2025-10-05 12:50:00,114.19,114.17,114.26,114.15,11527727.999999998,100920,2025-10-05 12:59:59
2025-10-05 13:00:00,114.15,114.17,114.21,114.11,2777274.4999999995,24330,2025-10-05 13:09:59
2025-10-05 13:10:00,114.17,114.1,114.18,114.03,3293407.0999999996,28860,2025-10-05 13:19:59
2025-10-05 13:20:00,114.06,114.16,114.16,114.01,3629413.199999999,31810,2025-10-05 13:29:59
2025-10-05 13:30:00,114.16,114.16,114.28,114.11,6597887.100000001,57770,2025-10-05 13:39:59
2025-10-05 13:40:00,114.16,114.19,114.19,114.13,6345362.300000006,55570,2025-10-05 13:49:59
2025-10-05 13:50:00,114.18,114.19,114.19,114.18,4688540.2,41060,2025-10-05 13:59:59
2025-10-05 14:00:00,114.19,114.25,114.29,114.17,17507146.6,153310,2025-10-05 14:09:59
2025-10-05 14:10:00,114.26,114.39,114.4,114.24,35875453.7,313800,2025-10-05 14:19:59
2025-10-05 14:20:00,114.4,114.49,114.49,114.39,14010653.8,122420,2025-10-05 14:29:59
2025-10-05 14:30:00,114.49,114.44,114.55,114.39,22588409.6,197280,2025-10-05 14:39:59
2025-10-05 14:40:00,114.44,114.43,114.47,114.38,5361113.7,46860,2025-10-05 14:49:59
2025-10-05 14:50:00,114.43,114.44,114.49,114.36,7920067.1,69210,2025-10-05 14:59:59
2025-10-05 15:00:00,114.41,114.36,114.44,114.21,18005904.800000004,157500,2025-10-05 15:09:59
2025-10-05 15:10:00,114.36,114.16,114.4,114.15,13662910.1,119600,2025-10-05 15:19:59
2025-10-05 15:20:00,114.18,114.22,114.31,114.18,6693794.400000001,58590,2025-10-05 15:29:59
2025-10-05 15:30:00,114.22,114.3,114.34,114.15,6892519.6000000015,60320,2025-10-05 15:39:59
2025-10-05 15:40:00,114.3,114.37,114.37,114.22,2872758.6,25130,2025-10-05 15:49:59
2025-10-05 15:50:00,114.37,114.31,114.44,114.29,4397040.2,38440,2025-10-05 15:59:59
2025-10-05 16:00:00,114.34,114.42,114.48,114.29,8019108.799999998,70070,2025-10-05 16:09:59
2025-10-05 16:10:00,114.45,114.49,114.49,114.4,9557661.4,83500,2025-10-05 16:19:59
2025-10-05 16:20:00,114.49,114.43,114.52,114.42,4739904.5,41410,2025-10-05 16:29:59
2025-10-05 16:30:00,114.44,114.46,114.47,114.32,3944296.6000000006,34490,2025-10-05 16:39:59
2025-10-05 16:40:00,114.45,114.55,114.57,114.45,10430763.499999996,91080,2025-10-05 16:49:59
2025-10-05 16:50:00,114.54,114.46,114.57,114.46,3110412.8999999994,27160,2025-10-05 16:59:59
2025-10-05 17:00:00,114.49,114.52,114.53,114.47,2087354.0,18230,2025-10-05 17:09:59
2025-10-05 17:10:00,114.52,114.72,114.72,114.52,46856964.70000001,408700,2025-10-05 17:19:59
2025-10-05 17:20:00,114.72,114.7,114.75,114.7,23170530.70000001,202000,2025-10-05 17:29:59
2025-10-05 17:30:00,114.71,114.59,114.71,114.56,19774050.700000007,172410,2025-10-05 17:39:59
2025-10-05 17:40:00,114.58,114.64,114.68,114.47,13784445.400000004,120320,2025-10-05 17:49:59
2025-10-05 17:50:00,114.64,114.63,114.69,114.6,3164507.5000000005,27600,2025-10-05 17:59:59
2025-10-05 18:00:00,114.64,114.69,114.69,114.55,10425604.600000001,90960,2025-10-05 18:09:59
2025-10-05 18:10:00,114.68,114.78,114.79,114.67,10407340.1,90690,2025-10-05 18:19:59
2025-10-05 18:20:00,114.78,114.92,115.0,114.76,48650144.80000001,423380,2025-10-05 18:29:59
2025-10-05 18:30:00,114.93,114.9,114.94,114.85,16414638.100000001,142880,2025-10-05 18:39:59
2025-10-05 18:40:00,114.89,114.98,114.98,114.85,11106611.3,96640,2025-10-05 18:49:59
2025-10-05 18:50:00,114.98,114.98,115.07,114.93,34537206.3,300320,2025-10-05 18:59:59
2025-10-06 06:50:00,115.1,115.1,115.1,115.1,2448177.0,21270,2025-10-06 06:59:59
2025-10-06 07:00:00,115.1,114.92,115.37,114.81,82615247.60000001,717560,2025-10-06 07:09:59
