begin,open,close,high,low,value,volume,end
2025-08-20 06:50:00,3627,3627,3627,3627,18135,5,2025-08-20 06:59:59
2025-08-20 07:00:00,3627,3633,3636,3627,2476141,682,2025-08-20 07:09:59
2025-08-20 07:10:00,3631,3630,3631,3625,656760,181,2025-08-20 07:19:59
2025-08-20 07:20:00,3630,3633,3633,3630,257832,71,2025-08-20 07:29:59
2025-08-20 07:30:00,3632,3633,3633,3632,490422,135,2025-08-20 07:39:59
2025-08-20 07:40:00,3632,3632,3633,3631,188864,52,2025-08-20 07:49:59
2025-08-20 07:50:00,3633,3634,3634,3632,970014,267,2025-08-20 07:59:59
2025-08-20 08:00:00,3635,3634,3635,3634,298053,82,2025-08-20 08:09:59
2025-08-20 08:10:00,3635,3635,3635,3634,1483075,408,2025-08-20 08:19:59
2025-08-20 08:20:00,3635,3639,3639,3635,1469602,404,2025-08-20 08:29:59
2025-08-20 08:30:00,3639,3640,3641,3638,1200860,330,2025-08-20 08:39:59
2025-08-20 08:40:00,3640,3642,3642,3638,2110553,580,2025-08-20 08:49:59
2025-08-20 08:50:00,3642,3646,3646,3640,5228580,1435,2025-08-20 08:59:59
2025-08-20 09:00:00,3645,3637,3646,3633,4509439,1238,2025-08-20 09:09:59
2025-08-20 09:10:00,3640,3642,3645,3639,935735,257,2025-08-20 09:19:59
2025-08-20 09:20:00,3642,3645,3646,3640,1574233,432,2025-08-20 09:29:59
2025-08-20 09:30:00,3644,3640,3648,3640,8095540,2221,2025-08-20 09:39:59
2025-08-20 09:40:00,3640,3637,3640,3635,1327782,365,2025-08-20 09:49:59
2025-08-20 09:50:00,3638,3639,3640,3635,702025,193,2025-08-20 09:59:59
2025-08-20 10:00:00,3639,3636,3639,3634,1039759,286,2025-08-20 10:09:59
2025-08-20 10:10:00,3636,3628,3637,3621,8762285,2416,2025-08-20 10:19:59
2025-08-20 10:20:00,3629,3626,3629,3625,2629491,725,2025-08-20 10:29:59
2025-08-20 10:30:00,3626,3622,3627,3616,5162952,1426,2025-08-20 10:39:59
2025-08-20 10:40:00,3623,3626,3626,3622,1667022,460,2025-08-20 10:49:59
2025-08-20 10:50:00,3625,3623,3626,3623,877175,242,2025-08-20 10:59:02
2025-08-20 11:00:00,3624,3623,3624,3622,670217,185,2025-08-20 11:09:59
2025-08-20 11:10:00,3623,3624,3624,3622,514483,142,2025-08-20 11:19:59
2025-08-20 11:20:00,3624,3617,3625,3611,17989744,4975,2025-08-20 11:29:59
2025-08-20 11:30:00,3617,3625,3625,3617,4717353,1302,2025-08-20 11:39:59
2025-08-20 11:40:00,3624,3624,3627,3623,4605386,1271,2025-08-20 11:49:59
2025-08-20 11:50:00,3625,3625,3627,3624,1073149,296,2025-08-20 11:59:59
2025-08-20 12:00:00,3625,3627,3628,3624,1588412,438,2025-08-20 12:09:59
2025-08-20 12:10:00,3627,3624,3627,3623,4069106,1123,2025-08-20 12:19:59
2025-08-20 12:20:00,3623,3624,3624,3623,4075984,1125,2025-08-20 12:29:59
2025-08-20 12:30:00,3623,3615,3624,3613,9447103,2609,2025-08-20 12:39:59
2025-08-20 12:40:00,3614,3615,3620,3614,2867666,793,2025-08-20 12:49:59
2025-08-20 12:50:00,3615,3612,3617,3611,3194881,884,2025-08-20 12:59:59
2025-08-20 13:00:00,3611,3612,3614,3611,3253955,901,2025-08-20 13:09:59
2025-08-20 13:10:00,3611,3614,3616,3610,3269255,905,2025-08-20 13:19:59
2025-08-20 13:20:00,3614,3613,3617,3613,10163622,2812,2025-08-20 13:29:59
2025-08-20 13:30:00,3613,3605,3614,3605,14466105,4009,2025-08-20 13:39:59
2025-08-20 13:40:00,3605,3607,3609,3605,7626197,2115,2025-08-20 13:49:59
2025-08-20 13:50:00,3608,3607,3610,3606,4254016,1179,2025-08-20 13:59:59
2025-08-20 14:00:00,3607,3605,3609,3605,4770538,1323,2025-08-20 14:09:59
2025-08-20 14:10:00,3606,3605,3608,3605,9745250,2703,2025-08-20 14:19:59
2025-08-20 14:20:00,3606,3601,3607,3601,16504984,4580,2025-08-20 14:29:59
2025-08-20 14:30:00,3602,3603,3604,3595,20486794,5692,2025-08-20 14:39:59
2025-08-20 14:40:00,3603,3604,3612,3600,10302403,2857,2025-08-20 14:49:59
2025-08-20 14:50:00,3605,3604,3607,3603,6466793,1794,2025-08-20 14:59:59
2025-08-20 15:00:00,3605,3604,3607,3603,3147594,873,2025-08-20 15:09:59
2025-08-20 15:10:00,3605,3596,3606,3596,8016429,2226,2025-08-20 15:19:59
2025-08-20 15:20:00,3597,3600,3604,3595,7019415,1950,2025-08-20 15:29:59
2025-08-20 15:30:00,3600,3601,3603,3600,1044205,290,2025-08-20 15:39:59
2025-08-20 15:40:00,3600,3606,3607,3598,8657242,2403,2025-08-20 15:49:59
2025-08-20 15:50:00,3606,3605,3608,3603,3832652,1063,2025-08-20 15:59:59
2025-08-20 16:00:00,3604,3603,3607,3601,1964442,545,2025-08-20 16:09:59
2025-08-20 16:10:00,3603,3600,3605,3594,18402702,5115,2025-08-20 16:19:59
2025-08-20 16:20:00,3602,3606,3607,3594,20924680,5810,2025-08-20 16:29:59
2025-08-20 16:30:00,3606,3598,3606,3595,4999290,1388,2025-08-20 16:39:59
2025-08-20 16:40:00,3598,3599,3603,3595,5343254,1484,2025-08-20 16:49:59
2025-08-20 16:50:00,3600,3600,3602,3598,3318356,922,2025-08-20 16:59:59
2025-08-20 17:00:00,3600,3599,3602,3598,3566681,991,2025-08-20 17:09:59
2025-08-20 17:10:00,3598,3600,3602,3594,12135871,3374,2025-08-20 17:19:59
2025-08-20 17:20:00,3600,3600,3601,3599,3805488,1057,2025-08-20 17:29:59
2025-08-20 17:30:00,3600,3600,3602,3600,1156012,321,2025-08-20 17:39:59
2025-08-20 17:40:00,3600,3592,3603,3591,12893786,3585,2025-08-20 17:49:59
2025-08-20 17:50:00,3592,3588,3597,3586,17243692,4804,2025-08-20 17:59:59
2025-08-20 18:00:00,3590,3603,3605,3589,15593442,4332,2025-08-20 18:09:59
2025-08-20 18:10:00,3603,3603,3605,3601,4779135,1326,2025-08-20 18:19:59
2025-08-20 18:20:00,3603,3604,3607,3603,4329367,1201,2025-08-20 18:29:59
2025-08-20 18:30:00,3605,3600,3605,3595,6778655,1883,2025-08-20 18:39:59
2025-08-20 18:40:00,3604,3604,3604,3604,1254192,348,2025-08-20 18:49:59
2025-08-20 19:00:00,3605,3605,3606,3600,883068,245,2025-08-20 19:09:59
2025-08-20 19:10:00,3606,3601,3606,3600,1083708,301,2025-08-20 19:19:59
2025-08-20 19:20:00,3602,3602,3606,3601,2871958,797,2025-08-20 19:29:59
2025-08-20 19:30:00,3603,3598,3605,3598,4760502,1322,2025-08-20 19:39:59
2025-08-20 19:40:00,3598,3591,3599,3590,2582695,719,2025-08-20 19:49:59
2025-08-20 19:50:00,3590,3590,3596,3590,1095394,305,2025-08-20 19:59:59
2025-08-20 20:00:00,3592,3592,3592,3590,2657420,740,2025-08-20 20:09:59
2025-08-20 20:10:00,3591,3593,3593,3590,452601,126,2025-08-20 20:19:59
2025-08-20 20:20:00,3593,3598,3599,3593,1668364,464,2025-08-20 20:29:59
2025-08-20 20:30:00,3599,3598,3599,3595,690464,192,2025-08-20 20:39:59
2025-08-20 20:40:00,3598,3599,3600,3597,903242,251,2025-08-20 20:49:59
2025-08-20 20:50:00,3600,3598,3600,3598,867505,241,2025-08-20 20:59:59
2025-08-20 21:00:00,3599,3600,3600,3598,356336,99,2025-08-20 21:09:59
2025-08-20 21:10:00,3600,3599,3600,3599,3945552,1096,2025-08-20 21:19:59
2025-08-20 21:20:00,3599,3600,3600,3599,2563169,712,2025-08-20 21:29:59
2025-08-20 21:30:00,3600,3600,3600,3599,1587553,441,2025-08-20 21:39:59
2025-08-20 21:40:00,3599,3599,3600,3599,1569504,436,2025-08-20 21:49:59
2025-08-20 21:50:00,3600,3600,3600,3599,244794,68,2025-08-20 21:59:59
2025-08-20 22:00:00,3600,3600,3600,3599,1317481,366,2025-08-20 22:09:59
2025-08-20 22:10:00,3600,3600,3600,3599,1249182,347,2025-08-20 22:19:59
2025-08-20 22:20:00,3600,3600,3600,3599,169194,47,2025-08-20 22:29:59
2025-08-20 22:30:00,3600,3600,3600,3599,334788,93,2025-08-20 22:39:59
2025-08-20 22:40:00,3600,3599,3600,3599,125979,35,2025-08-20 22:49:59
2025-08-20 22:50:00,3600,3599,3600,3599,89994,25,2025-08-20 22:59:09
2025-08-20 23:00:00,3600,3599,3600,3599,665955,185,2025-08-20 23:09:59
2025-08-20 23:10:00,3600,3600,3600,3600,676800,188,2025-08-20 23:19:59
2025-08-20 23:20:00,3600,3600,3600,3599,248399,69,2025-08-20 23:29:59
2025-08-20 23:30:00,3600,3600,3600,3599,925026,257,2025-08-20 23:39:59
2025-08-20 23:40:00,3600,3600,3600,3599,896378,249,2025-08-20 23:49:09
2025-08-21 07:00:00,3605,3602,3607,3599,3531957,980,2025-08-21 07:09:59
2025-08-21 07:10:00,3605,3608,3608,3602,2008739,557,2025-08-21 07:19:59
2025-08-21 07:20:00,3608,3608,3608,3608,115456,32,2025-08-21 07:29:59
2025-08-21 07:30:00,3607,3609,3609,3606,2295219,636,2025-08-21 07:39:59
2025-08-21 07:40:00,3608,3609,3609,3608,1183741,328,2025-08-21 07:49:59
2025-08-21 07:50:00,3609,3607,3609,3607,447379,124,2025-08-21 07:59:59
2025-08-21 08:00:00,3608,3602,3608,3602,7816324,2167,2025-08-21 08:09:59
