begin,open,close,high,low,value,volume,end
2025-08-20 06:50:00,1298.0,1298.0,1298.0,1298.0,53218.0,41,2025-08-20 06:59:59
2025-08-20 07:00:00,1298.5,1295.1,1298.5,1293.0,444711.8,343,2025-08-20 07:09:59
2025-08-20 07:10:00,1295.1,1294.6,1295.8,1294.6,192954.0,149,2025-08-20 07:19:59
2025-08-20 07:20:00,1296.1,1295.6,1298.0,1294.9,530357.9,409,2025-08-20 07:29:59
2025-08-20 07:30:00,1296.5,1296.1,1298.0,1295.7,520016.0,401,2025-08-20 07:39:59
2025-08-20 07:40:00,1295.8,1296.1,1297.2,1295.8,66145.2,51,2025-08-20 07:49:59
2025-08-20 07:50:00,1296.3,1296.5,1297.0,1295.3,229376.4,177,2025-08-20 07:54:01
2025-08-20 08:00:00,1296.8,1295.2,1297.1,1295.2,255331.60000000006,197,2025-08-20 08:09:59
2025-08-20 08:10:00,1295.2,1291.4,1295.2,1290.2,1358217.5999999996,1050,2025-08-20 08:19:59
2025-08-20 08:20:00,1293.1,1294.5,1294.5,1290.5,955035.5,739,2025-08-20 08:29:59
2025-08-20 08:30:00,1294.5,1293.3,1295.0,1293.0,458026.8,354,2025-08-20 08:39:59
2025-08-20 08:40:00,1293.9,1294.6,1295.0,1293.4,199288.30000000002,154,2025-08-20 08:49:59
2025-08-20 08:50:00,1294.6,1294.3,1294.6,1294.0,261442.30000000002,202,2025-08-20 08:59:59
2025-08-20 09:00:00,1294.2,1291.9,1294.3,1291.1,334763.89999999997,259,2025-08-20 09:09:59
2025-08-20 09:10:00,1292.9,1295.3,1295.3,1292.9,484043.7,374,2025-08-20 09:19:59
2025-08-20 09:20:00,1295.3,1302.0,1304.1,1295.3,7555914.400000002,5811,2025-08-20 09:29:59
2025-08-20 09:30:00,1302.0,1304.4,1307.0,1301.0,3719395.6000000006,2854,2025-08-20 09:39:59
2025-08-20 09:40:00,1304.4,1299.5,1307.7,1299.4,2650061.5000000005,2033,2025-08-20 09:49:59
2025-08-20 09:50:00,1299.4,1304.0,1304.0,1299.0,1202143.2,924,2025-08-20 09:59:59
2025-08-20 10:00:00,1304.0,1304.8,1304.8,1302.2,1927864.5999999999,1479,2025-08-20 10:09:59
2025-08-20 10:10:00,1304.8,1304.0,1307.1,1304.0,1469850.2999999996,1126,2025-08-20 10:19:59
2025-08-20 10:20:00,1304.1,1304.4,1304.8,1303.5,632547.1000000001,485,2025-08-20 10:29:59
2025-08-20 10:30:00,1304.8,1299.0,1306.9,1299.0,7900816.5,6066,2025-08-20 10:39:59
2025-08-20 10:40:00,1299.1,1304.3,1306.5,1299.0,2832639.6,2175,2025-08-20 10:49:59
2025-08-20 10:50:00,1304.3,1301.8,1304.4,1301.8,884803.9,679,2025-08-20 10:59:59
2025-08-20 11:00:00,1302.7,1303.9,1307.6,1300.6,4905606.4,3761,2025-08-20 11:09:59
2025-08-20 11:10:00,1304.1,1301.8,1307.8,1301.2,4034053.8999999994,3092,2025-08-20 11:19:59
2025-08-20 11:20:00,1302.7,1302.0,1303.5,1301.6,840271.1000000001,645,2025-08-20 11:29:59
2025-08-20 11:30:00,1302.4,1301.8,1303.4,1300.6,1265496.5,972,2025-08-20 11:39:59
2025-08-20 11:40:00,1302.4,1300.4,1304.3,1300.4,2020864.3999999992,1553,2025-08-20 11:49:59
2025-08-20 11:50:00,1300.4,1299.1,1300.5,1299.1,3230700.1999999965,2486,2025-08-20 11:59:59
2025-08-20 12:00:00,1299.3,1299.5,1302.4,1299.1,2513706.2,1934,2025-08-20 12:09:59
2025-08-20 12:10:00,1299.4,1294.5,1299.5,1292.9,5170651.8,3988,2025-08-20 12:19:59
2025-08-20 12:20:00,1294.6,1298.2,1299.2,1293.5,1450304.6000000003,1118,2025-08-20 12:29:59
2025-08-20 12:30:00,1298.9,1295.6,1299.0,1295.6,684899.3,528,2025-08-20 12:39:59
2025-08-20 12:40:00,1296.3,1298.1,1299.4,1296.1,998880.9,770,2025-08-20 12:49:59
2025-08-20 12:50:00,1297.8,1299.0,1300.5,1297.6,1162768.0,895,2025-08-20 12:59:59
2025-08-20 13:00:00,1299.4,1298.1,1299.4,1298.1,472753.2,364,2025-08-20 13:09:59
2025-08-20 13:10:00,1298.2,1298.1,1299.4,1298.0,367538.19999999995,283,2025-08-20 13:19:59
2025-08-20 13:20:00,1298.1,1297.3,1299.3,1297.0,410011.3,316,2025-08-20 13:29:59
2025-08-20 13:30:00,1297.3,1296.8,1297.5,1296.5,1241172.7999999998,957,2025-08-20 13:39:59
2025-08-20 13:40:00,1296.8,1296.5,1297.1,1296.5,650866.5,502,2025-08-20 13:49:59
2025-08-20 13:50:00,1296.5,1280.3,1296.5,1278.5,13928175.200000001,10821,2025-08-20 13:59:59
2025-08-20 14:00:00,1280.3,1267.5,1283.8,1259.0,32288419.3,25443,2025-08-20 14:09:59
2025-08-20 14:10:00,1268.0,1273.6,1276.0,1265.5,12469037.700000001,9809,2025-08-20 14:19:59
2025-08-20 14:20:00,1273.6,1270.4,1277.9,1270.0,5757312.4,4516,2025-08-20 14:29:59
2025-08-20 14:30:00,1270.5,1271.5,1278.7,1270.4,5772062.6,4531,2025-08-20 14:39:59
2025-08-20 14:40:00,1271.6,1271.5,1272.0,1271.2,1218241.2,958,2025-08-20 14:49:59
2025-08-20 14:50:00,1271.5,1271.8,1272.0,1270.5,2731068.6,2148,2025-08-20 14:59:59
2025-08-20 15:00:00,1271.3,1263.3,1271.8,1263.2,6888256.399999999,5430,2025-08-20 15:09:59
2025-08-20 15:10:00,1263.4,1261.2,1263.5,1260.1,6541455.3,5187,2025-08-20 15:19:59
2025-08-20 15:20:00,1261.1,1263.9,1264.5,1261.1,3318844.4000000004,2628,2025-08-20 15:29:59
2025-08-20 15:30:00,1264.0,1249.0,1264.7,1247.8,13470937.400000002,10717,2025-08-20 15:39:59
2025-08-20 15:40:00,1247.9,1258.0,1258.7,1247.3,8323638.800000002,6647,2025-08-20 15:49:59
2025-08-20 15:50:00,1258.0,1261.9,1261.9,1257.5,6568003.500000001,5215,2025-08-20 15:59:59
