begin,open,close,high,low,value,volume,end
2024-08-20 09:50:00,0.0753,0.0753,0.0753,0.0753,2259.0,30000,2024-08-20 09:59:59
2024-08-20 10:00:00,0.0753,0.0755,0.0757,0.07525,121626.0,1610000,2024-08-20 10:09:59
2024-08-20 10:10:00,0.0755,0.07565,0.07565,0.0755,210912.0,2790000,2024-08-20 10:19:59
2024-08-20 10:20:00,0.07575,0.07585,0.07585,0.07575,54579.5,720000,2024-08-20 10:29:59
2024-08-20 10:30:00,0.0759,0.07605,0.0762,0.07565,318358.0,4190000,2024-08-20 10:39:59
2024-08-20 10:40:00,0.07625,0.0762,0.0764,0.0761,215953.5,2830000,2024-08-20 10:49:59
2024-08-20 10:50:00,0.0761,0.0758,0.07615,0.0758,154967.5,2040000,2024-08-20 10:54:03
2024-08-20 11:00:00,0.076,0.07565,0.076,0.07565,99331.5,1310000,2024-08-20 11:09:59
2024-08-20 11:10:00,0.07565,0.0754,0.07565,0.0754,113204.0,1500000,2024-08-20 11:19:59
2024-08-20 11:20:00,0.0754,0.076,0.076,0.0754,202813.0,2680000,2024-08-20 11:29:59
2024-08-20 11:30:00,0.07565,0.07555,0.07595,0.07555,179553.5,2370000,2024-08-20 11:39:59
2024-08-20 11:40:00,0.0756,0.0754,0.0756,0.0754,188675.5,2500000,2024-08-20 11:49:59
2024-08-20 11:50:00,0.07545,0.0755,0.076,0.0754,353179.5,4670000,2024-08-20 11:59:59
2024-08-20 12:00:00,0.0755,0.07525,0.07565,0.07525,587228.5,7790000,2024-08-20 12:09:59
2024-08-20 12:10:00,0.07525,0.07525,0.0755,0.07525,15056.5,200000,2024-08-20 12:19:59
2024-08-20 12:20:00,0.0755,0.0753,0.0755,0.0753,5277.5,70000,2024-08-20 12:29:59
2024-08-20 12:30:00,0.07535,0.0755,0.07575,0.07535,105765.5,1400000,2024-08-20 12:39:59
2024-08-20 12:40:00,0.0755,0.07555,0.07585,0.0755,18909.0,250000,2024-08-20 12:49:59
2024-08-20 12:50:00,0.0758,0.07585,0.07595,0.0757,22754.5,300000,2024-08-20 12:59:59
2024-08-20 13:00:00,0.07585,0.0758,0.07585,0.0758,14410.0,190000,2024-08-20 13:09:59
2024-08-20 13:10:00,0.07595,0.0758,0.076,0.0757,226652.0,2990000,2024-08-20 13:19:59
2024-08-20 13:20:00,0.0758,0.076,0.076,0.0758,181465.0,2390000,2024-08-20 13:29:59
2024-08-20 13:30:00,0.07605,0.07575,0.0761,0.07575,30388.0,400000,2024-08-20 13:39:59
2024-08-20 13:40:00,0.0758,0.0758,0.0758,0.0754,151852.0,2010000,2024-08-20 13:49:59
2024-08-20 13:50:00,0.0757,0.0759,0.0759,0.0756,24995.5,330000,2024-08-20 13:58:04
2024-08-20 14:00:00,0.0758,0.0757,0.0758,0.0757,11369.0,150000,2024-08-20 14:09:59
2024-08-20 14:10:00,0.07585,0.07565,0.07595,0.07565,31095.0,410000,2024-08-20 14:19:59
2024-08-20 14:20:00,0.07585,0.07555,0.0759,0.07555,99995.5,1320000,2024-08-20 14:29:59
2024-08-20 14:30:00,0.0758,0.0759,0.07595,0.0758,91028.5,1200000,2024-08-20 14:39:59
2024-08-20 14:40:00,0.07595,0.0762,0.0762,0.0757,182451.5,2400000,2024-08-20 14:49:59
2024-08-20 14:50:00,0.0761,0.0761,0.0761,0.0761,7610.0,100000,2024-08-20 14:59:59
2024-08-20 15:00:00,0.07585,0.07575,0.07605,0.07575,43210.0,570000,2024-08-20 15:09:59
2024-08-20 15:10:00,0.07575,0.076,0.07605,0.07575,28848.0,380000,2024-08-20 15:19:59
2024-08-20 15:20:00,0.07605,0.07605,0.07605,0.07585,27353.5,360000,2024-08-20 15:29:59
2024-08-20 15:30:00,0.07605,0.0761,0.0761,0.07605,19779.5,260000,2024-08-20 15:39:59
