begin,open,close,high,low,value,volume,end
2025-05-20 06:50:00,485.5,485.5,485.5,485.5,1315705.0,2710,2025-05-20 06:59:59
2025-05-20 07:00:00,485.5,484.9,486.6,483.6,20030982.700000003,41289,2025-05-20 07:09:59
2025-05-20 07:10:00,484.9,487.1,487.3,484.4,12218778.6,25138,2025-05-20 07:19:59
2025-05-20 07:20:00,487.1,487.2,487.6,486.0,17821378.300000004,36621,2025-05-20 07:29:59
2025-05-20 07:30:00,487.2,485.5,487.2,485.2,4554582.5,9365,2025-05-20 07:39:59
2025-05-20 07:40:00,485.3,485.5,486.5,484.6,4655575.499999999,9590,2025-05-20 07:49:59
2025-05-20 07:50:00,485.5,485.6,486.8,483.5,13036462.199999996,26866,2025-05-20 07:59:59
2025-05-20 08:00:00,485.7,486.5,487.3,485.1,9107468.9,18722,2025-05-20 08:09:59
2025-05-20 08:10:00,486.2,487.2,487.2,485.2,5998331.399999999,12325,2025-05-20 08:19:59
2025-05-20 08:20:00,487.2,486.6,487.3,486.4,3953375.7000000007,8116,2025-05-20 08:29:59
2025-05-20 08:30:00,486.6,487.0,487.0,486.5,3594052.3000000003,7383,2025-05-20 08:39:59
2025-05-20 08:40:00,486.8,487.4,488.9,486.3,19178732.49999999,39340,2025-05-20 08:49:59
2025-05-20 08:50:00,487.6,487.3,487.8,487.3,2993901.4000000004,6142,2025-05-20 08:59:59
2025-05-20 09:00:00,487.3,486.3,487.3,485.3,16858478.7,34633,2025-05-20 09:09:59
2025-05-20 09:10:00,486.6,486.3,487.1,486.0,2203209.5,4528,2025-05-20 09:19:59
2025-05-20 09:20:00,486.2,486.3,488.0,485.8,16768029.599999998,34461,2025-05-20 09:29:59
2025-05-20 09:30:00,486.4,485.6,486.6,485.6,2012604.6,4141,2025-05-20 09:39:59
2025-05-20 09:40:00,485.7,485.7,485.9,485.0,6137446.8,12648,2025-05-20 09:49:59
2025-05-20 09:50:00,485.8,487.0,487.7,485.7,9014219.600000001,18517,2025-05-20 09:59:59
2025-05-20 10:00:00,486.8,485.0,486.8,484.5,18049028.1,37172,2025-05-20 10:09:59
2025-05-20 10:10:00,484.9,483.4,484.9,483.0,24178924.599999998,49976,2025-05-20 10:19:59
2025-05-20 10:20:00,483.5,482.5,484.3,482.5,14558613.5,30117,2025-05-20 10:29:59
2025-05-20 10:30:00,483.0,481.7,483.1,481.1,32608039.6,67666,2025-05-20 10:39:59
2025-05-20 10:40:00,482.0,482.0,482.4,481.3,16853123.3,34979,2025-05-20 10:49:59
2025-05-20 10:50:00,482.0,482.3,482.6,481.5,15943160.100000001,33062,2025-05-20 10:59:59
2025-05-20 11:00:00,482.3,483.2,483.4,481.8,10057657.1,20840,2025-05-20 11:09:59
