begin,open,close,high,low,value,volume,end
2025-08-20 06:50:00,69.93,69.93,69.93,69.93,699.3,10,2025-08-20 06:59:59
2025-08-20 07:00:00,70.09,69.87,70.09,69.72,2371007.0,33930,2025-08-20 07:09:59
2025-08-20 07:10:00,69.91,70.0,70.0,69.87,269854.2,3860,2025-08-20 07:19:59
2025-08-20 07:20:00,70.0,69.99,70.03,69.9,836388.4999999999,11950,2025-08-20 07:29:59
2025-08-20 07:30:00,69.98,69.95,69.99,69.94,319797.0,4570,2025-08-20 07:39:59
2025-08-20 07:40:00,69.95,69.98,69.99,69.95,69958.50000000001,1000,2025-08-20 07:49:59
2025-08-20 07:50:00,69.99,70.0,70.0,69.97,16098.5,230,2025-08-20 07:59:59
2025-08-20 08:00:00,70.0,70.03,70.04,70.0,126042.7,1800,2025-08-20 08:09:59
2025-08-20 08:10:00,70.03,69.83,70.03,69.83,1102240.2999999998,15760,2025-08-20 08:19:59
2025-08-20 08:20:00,69.93,69.88,69.93,69.88,127913.8,1830,2025-08-20 08:29:59
2025-08-20 08:30:00,69.9,69.88,69.94,69.88,197077.6,2820,2025-08-20 08:39:59
2025-08-20 08:40:00,69.88,69.9,69.9,69.88,58014.0,830,2025-08-20 08:49:59
2025-08-20 08:50:00,69.9,69.91,69.91,69.88,67111.10000000002,960,2025-08-20 08:59:01
2025-08-20 09:00:00,69.91,69.86,69.91,69.77,460206.80000000005,6590,2025-08-20 09:09:59
2025-08-20 09:10:00,69.9,69.99,69.99,69.89,229458.69999999998,3280,2025-08-20 09:19:59
2025-08-20 09:20:00,70.0,70.12,70.17,69.93,5006372.0,71460,2025-08-20 09:29:59
2025-08-20 09:30:00,70.11,70.23,70.31,70.07,4615191.3,65720,2025-08-20 09:39:59
2025-08-20 09:40:00,70.23,70.21,70.29,70.19,833352.2000000002,11870,2025-08-20 09:49:59
2025-08-20 09:50:00,70.21,70.28,70.32,70.19,1107720.5,15770,2025-08-20 09:59:02
2025-08-20 10:00:00,70.22,69.89,70.22,69.86,6582801.899999999,94100,2025-08-20 10:09:59
2025-08-20 10:10:00,69.89,69.78,69.89,69.62,6803764.8,97610,2025-08-20 10:19:59
2025-08-20 10:20:00,69.78,69.8,69.8,69.75,1177835.4,16880,2025-08-20 10:29:59
2025-08-20 10:30:00,69.8,69.78,69.89,69.76,5137077.8,73600,2025-08-20 10:39:59
2025-08-20 10:40:00,69.78,69.86,69.87,69.78,2406531.2999999993,34480,2025-08-20 10:49:59
2025-08-20 10:50:00,69.86,69.81,69.92,69.81,313771.2,4490,2025-08-20 10:59:59
2025-08-20 11:00:00,69.81,69.85,69.85,69.76,3157483.6000000006,45240,2025-08-20 11:09:59
2025-08-20 11:10:00,69.83,69.83,69.86,69.75,3042003.7000000007,43600,2025-08-20 11:19:59
2025-08-20 11:20:00,69.85,69.62,69.85,69.56,4042932.1,57990,2025-08-20 11:29:59
2025-08-20 11:30:00,69.62,69.64,69.66,69.55,2095323.6999999988,30100,2025-08-20 11:39:59
2025-08-20 11:40:00,69.66,69.62,69.66,69.61,123261.9,1770,2025-08-20 11:49:59
2025-08-20 11:50:00,69.64,69.6,69.67,69.53,629654.4999999999,9050,2025-08-20 11:59:59
2025-08-20 12:00:00,69.62,69.8,69.84,69.57,2103756.9,30160,2025-08-20 12:09:59
2025-08-20 12:10:00,69.8,69.88,69.88,69.8,2449070.0,35070,2025-08-20 12:19:59
2025-08-20 12:20:00,69.85,69.83,69.87,69.78,138230.3,1980,2025-08-20 12:29:59
2025-08-20 12:30:00,69.83,69.78,69.83,69.71,1857068.7000000002,26620,2025-08-20 12:39:59
2025-08-20 12:40:00,69.77,69.77,69.84,69.76,1671575.5999999999,23960,2025-08-20 12:49:59
2025-08-20 12:50:00,69.79,69.78,69.82,69.77,450807.2,6460,2025-08-20 12:59:59
2025-08-20 13:00:00,69.77,69.9,69.93,69.77,3421398.6,48960,2025-08-20 13:09:59
2025-08-20 13:10:00,69.91,69.93,69.95,69.9,355935.39999999997,5090,2025-08-20 13:19:59
2025-08-20 13:20:00,69.9,69.92,69.99,69.88,3388906.099999999,48460,2025-08-20 13:29:59
2025-08-20 13:30:00,69.93,69.97,69.98,69.89,858247.2,12270,2025-08-20 13:39:59
2025-08-20 13:40:00,69.96,70.27,70.28,69.89,14291935.499999998,203800,2025-08-20 13:49:59
2025-08-20 13:50:00,70.26,70.14,70.26,70.14,3388605.1999999993,48290,2025-08-20 13:59:59
2025-08-20 14:00:00,70.14,70.16,70.18,70.14,7330409.999999999,104510,2025-08-20 14:09:59
2025-08-20 14:10:00,70.18,70.22,70.24,70.14,2899150.4,41310,2025-08-20 14:19:59
2025-08-20 14:20:00,70.17,70.03,70.25,70.02,5762176.5,82160,2025-08-20 14:29:59
2025-08-20 14:30:00,70.02,70.05,70.2,69.94,12413575.0,177190,2025-08-20 14:39:59
2025-08-20 14:40:00,70.01,70.16,70.21,70.01,6726968.399999999,96000,2025-08-20 14:49:59
2025-08-20 14:50:00,70.16,70.42,70.44,70.16,7537366.100000001,107150,2025-08-20 14:59:59
2025-08-20 15:00:00,70.42,70.25,70.43,70.25,5254251.7,74720,2025-08-20 15:09:59
2025-08-20 15:10:00,70.25,70.23,70.28,70.15,6217032.8,88560,2025-08-20 15:19:59
2025-08-20 15:20:00,70.22,70.35,70.39,70.22,1148421.2000000002,16340,2025-08-20 15:29:59
2025-08-20 15:30:00,70.34,70.36,70.42,70.31,1591221.4999999998,22620,2025-08-20 15:39:59
2025-08-20 15:40:00,70.36,70.49,70.56,70.35,8352763.2,118510,2025-08-20 15:49:59
2025-08-20 15:50:00,70.48,70.48,70.49,70.44,1967430.7999999996,27920,2025-08-20 15:59:59
