begin,open,close,high,low,value,volume,end
2020-08-11 09:50:00,226.43,226.43,226.43,226.43,8146951.4,35980,2020-08-11 09:59:59
2020-08-11 10:00:00,226.21,226.25,227.0,226.21,400518840.39999986,1767320,2020-08-11 10:09:59
2020-08-11 10:10:00,226.25,227.75,227.81,226.25,802276150.5000002,3530560,2020-08-11 10:19:59
2020-08-11 10:20:00,227.81,227.75,228.27,227.59,970618795.9000002,4257280,2020-08-11 10:29:59
2020-08-11 10:30:00,227.75,227.86,228.2,227.75,351135544.6000001,1540220,2020-08-11 10:39:59
2020-08-11 10:40:00,227.85,228.27,228.35,227.82,364022821.3999999,1595690,2020-08-11 10:49:59
2020-08-11 10:50:00,228.26,228.37,228.45,228.12,308783467.1,1352310,2020-08-11 10:59:59
2020-08-11 11:00:00,228.35,228.06,228.45,227.81,243716258.90000013,1068140,2020-08-11 11:09:59
2020-08-11 11:10:00,228.0,228.24,228.38,227.97,127801702.19999994,560040,2020-08-11 11:19:59
2020-08-11 11:20:00,228.21,228.6,228.79,228.16,370632874.0999999,1621630,2020-08-11 11:29:59
2020-08-11 11:30:00,228.64,229.37,229.7,228.55,1093797061.0999997,4772390,2020-08-11 11:39:59
2020-08-11 11:40:00,229.39,229.45,229.75,229.31,276349802.90000004,1203970,2020-08-11 11:49:59
2020-08-11 11:50:00,229.45,229.9,229.9,229.42,390398213.4999999,1699790,2020-08-11 11:59:59
2020-08-11 12:00:00,229.88,229.3,229.96,229.1,280289539.2,1221280,2020-08-11 12:09:59
2020-08-11 12:10:00,229.3,229.3,229.47,229.05,133778539.80000001,583560,2020-08-11 12:19:59
2020-08-11 12:20:00,229.29,229.31,229.49,229.11,81275464.5,354410,2020-08-11 12:29:59
2020-08-11 12:30:00,229.3,229.31,229.52,229.22,141885771.0,618510,2020-08-11 12:39:59
2020-08-11 12:40:00,229.31,229.68,229.68,229.27,145996735.60000002,636290,2020-08-11 12:49:59
2020-08-11 12:50:00,229.68,229.79,229.92,229.52,220834651.10000002,961050,2020-08-11 12:59:59
2020-08-11 13:00:00,229.81,229.91,229.94,229.6,226902867.89999998,987210,2020-08-11 13:09:59
2020-08-11 13:10:00,229.87,229.68,229.93,229.66,103846197.7,451860,2020-08-11 13:19:59
2020-08-11 13:20:00,229.68,230.55,230.7,229.63,935859498.8999999,4066690,2020-08-11 13:29:59
2020-08-11 13:30:00,230.58,230.44,230.74,230.13,425540392.7,1846660,2020-08-11 13:39:59
2020-08-11 13:40:00,230.44,230.19,230.46,230.03,170158786.99999997,739060,2020-08-11 13:49:59
2020-08-11 13:50:00,230.2,230.43,230.74,230.19,270892957.10000014,1174970,2020-08-11 13:59:59
2020-08-11 14:00:00,230.44,230.72,230.73,230.4,207928429.20000005,901930,2020-08-11 14:09:59
2020-08-11 14:10:00,230.66,231.16,231.35,230.66,454729071.00000006,1967910,2020-08-11 14:19:59
2020-08-11 14:20:00,231.23,230.67,231.34,230.33,330133503.5,1429550,2020-08-11 14:29:59
2020-08-11 14:30:00,230.66,231.0,231.11,230.58,133867700.6,579970,2020-08-11 14:39:59
2020-08-11 14:40:00,231.05,231.18,231.28,230.92,176682537.8,764450,2020-08-11 14:49:59
2020-08-11 14:50:00,231.18,230.9,231.34,230.89,253574255.79999995,1097300,2020-08-11 14:59:59
2020-08-11 15:00:00,230.89,230.98,231.14,230.88,126101782.29999998,545870,2020-08-11 15:09:59
2020-08-11 15:10:00,230.98,231.34,231.35,230.96,203943372.90000004,882530,2020-08-11 15:19:59
2020-08-11 15:20:00,231.35,231.74,231.91,231.3,501442291.60000014,2165040,2020-08-11 15:29:59
2020-08-11 15:30:00,231.74,231.66,232.25,231.66,486072597.0999999,2095250,2020-08-11 15:39:59
2020-08-11 15:40:00,231.76,231.93,231.97,231.44,433211654.3999999,1869830,2020-08-11 15:49:59
2020-08-11 15:50:00,231.91,231.99,232.1,231.51,185887632.49999997,801680,2020-08-11 15:59:59
2020-08-11 16:00:00,231.99,232.47,232.55,231.8,332522014.0999999,1431930,2020-08-11 16:09:59
2020-08-11 16:10:00,232.41,232.42,232.44,231.87,271974510.0,1171370,2020-08-11 16:19:59
2020-08-11 16:20:00,232.42,232.45,232.5,232.1,155569148.50000003,669500,2020-08-11 16:29:59
2020-08-11 16:30:00,232.49,232.77,232.78,232.15,306573088.6999999,1318240,2020-08-11 16:39:59
2020-08-11 16:40:00,232.78,232.85,232.98,232.62,238922127.19999996,1026130,2020-08-11 16:49:59
2020-08-11 16:50:00,232.87,232.89,233.17,232.52,249830195.00000003,1072610,2020-08-11 16:59:59
2020-08-11 17:00:00,232.9,232.27,233.08,232.09,442602893.9,1902700,2020-08-11 17:09:59
2020-08-11 17:10:00,232.27,232.76,233.1,232.2,390394672.20000005,1677890,2020-08-11 17:19:59
2020-08-11 17:20:00,232.76,232.92,233.09,232.6,138509908.9,594720,2020-08-11 17:29:59
2020-08-11 17:30:00,232.92,233.2,233.37,232.7,472917007.0000003,2028520,2020-08-11 17:39:59
2020-08-11 17:40:00,233.2,233.42,233.69,233.12,283716823.99999994,1215910,2020-08-11 17:49:59
2020-08-11 17:50:00,233.41,233.26,233.5,233.25,169977814.70000002,728180,2020-08-11 17:59:59
2020-08-11 18:00:00,233.26,234.48,234.7,233.08,538734753.4999999,2301360,2020-08-11 18:09:59
2020-08-11 18:10:00,234.48,234.01,234.5,234.0,281796198.6,1202350,2020-08-11 18:19:59
2020-08-11 18:20:00,234.01,234.02,234.2,233.83,192798248.6,823810,2020-08-11 18:29:59
2020-08-11 18:30:00,234.02,234.55,234.73,233.9,515753585.2000003,2199830,2020-08-11 18:39:59
2020-08-11 18:40:00,234.6,234.6,234.6,234.6,477260856.0,2034360,2020-08-11 18:49:59
2020-08-11 19:00:00,234.6,234.2,234.7,233.69,51117430.2,218310,2020-08-11 19:09:59
2020-08-11 19:10:00,234.16,234.03,234.48,234.03,50147098.400000006,214090,2020-08-11 19:19:59
2020-08-11 19:20:00,234.1,234.43,234.44,234.01,35905998.0,153280,2020-08-11 19:29:59
2020-08-11 19:30:00,234.33,234.0,234.44,233.9,30338818.699999996,129600,2020-08-11 19:39:59
2020-08-11 19:40:00,234.13,233.93,234.13,233.87,17493282.900000002,74770,2020-08-11 19:49:59
2020-08-11 19:50:00,233.93,233.78,234.0,233.68,26161817.099999998,111880,2020-08-11 19:59:59
2020-08-11 20:00:00,233.78,233.6,233.87,233.59,33114099.9,141700,2020-08-11 20:09:59
2020-08-11 20:10:00,233.61,233.55,233.78,233.53,36728205.8,157190,2020-08-11 20:19:59
2020-08-11 20:20:00,233.65,234.0,234.03,233.55,47244510.300000004,202070,2020-08-11 20:29:59
2020-08-11 20:30:00,234.0,233.85,234.1,233.81,17852534.499999996,76320,2020-08-11 20:39:59
2020-08-11 20:40:00,233.9,233.58,233.94,233.58,24551737.4,105010,2020-08-11 20:49:59
2020-08-11 20:50:00,233.62,233.65,233.8,233.52,22617157.3,96800,2020-08-11 20:59:59
2020-08-11 21:00:00,233.65,233.51,233.66,233.5,33904425.5,145180,2020-08-11 21:09:59
2020-08-11 21:10:00,233.65,233.47,233.66,233.33,25012148.400000002,107130,2020-08-11 21:19:59
2020-08-11 21:20:00,233.51,233.33,233.52,233.33,21830802.1,93520,2020-08-11 21:29:59
2020-08-11 21:30:00,233.33,233.37,233.52,233.26,24970689.0,107000,2020-08-11 21:39:59
2020-08-11 21:40:00,233.37,233.26,233.49,233.26,11257152.200000001,48240,2020-08-11 21:49:59
2020-08-11 21:50:00,233.26,233.51,233.52,233.26,15782245.5,67610,2020-08-11 21:59:59
2020-08-11 22:00:00,233.51,233.48,233.51,233.37,14735832.700000001,63110,2020-08-11 22:09:59
2020-08-11 22:10:00,233.48,232.9,233.5,232.72,113479217.70000002,486800,2020-08-11 22:19:59
