time,open,high,low,close,volume
2025-08-20 03:45:00+00:00,316.53,316.53,316.53,316.53,2277
2025-08-20 04:00:00+00:00,316.53,317.4,316.49,317.3,251830
2025-08-20 04:15:00+00:00,317.3,317.31,317.09,317.26,46467
2025-08-20 04:30:00+00:00,317.26,317.27,316.9,316.96,80037
2025-08-20 04:45:00+00:00,316.99,317.0,316.93,316.99,40022
2025-08-20 05:00:00+00:00,317.0,317.28,317.0,317.11,56819
2025-08-20 05:15:00+00:00,317.11,317.28,317.11,317.27,30840
2025-08-20 05:30:00+00:00,317.27,317.51,317.25,317.49,102420
2025-08-20 05:45:00+00:00,317.49,317.49,317.22,317.26,34467
2025-08-20 06:00:00+00:00,317.26,317.26,316.67,317.18,172478
2025-08-20 06:15:00+00:00,317.18,317.49,317.13,317.36,153560
2025-08-20 06:30:00+00:00,317.35,317.43,317.25,317.34,87540
2025-08-20 06:45:00+00:00,317.34,317.51,317.3,317.44,122752
2025-08-20 07:00:00+00:00,317.44,317.44,316.82,316.85,318315
2025-08-20 07:15:00+00:00,316.86,317.01,316.59,316.72,367348
2025-08-20 07:30:00+00:00,316.71,316.96,316.57,316.92,201499
2025-08-20 07:45:00+00:00,316.92,316.95,316.88,316.88,79054
2025-08-20 08:00:00+00:00,316.89,316.89,316.63,316.85,111301
2025-08-20 08:15:00+00:00,316.84,316.92,316.8,316.91,54261
2025-08-20 08:30:00+00:00,316.9,316.91,316.75,316.76,59168
2025-08-20 08:45:00+00:00,316.76,316.86,316.69,316.73,55399
2025-08-20 09:00:00+00:00,316.73,317.25,316.67,316.72,334369
2025-08-20 09:15:00+00:00,316.72,316.84,316.69,316.7,96312
2025-08-20 09:30:00+00:00,316.7,316.7,316.12,316.43,372992
2025-08-20 09:45:00+00:00,316.43,316.49,316.3,316.31,147394
2025-08-20 10:00:00+00:00,316.31,316.54,316.18,316.54,288512
2025-08-20 10:15:00+00:00,316.54,316.64,316.37,316.42,76902
2025-08-20 10:30:00+00:00,316.42,316.42,316.32,316.33,136477
2025-08-20 10:45:00+00:00,316.32,316.37,316.24,316.31,120307
2025-08-20 11:00:00+00:00,316.32,316.38,315.76,315.85,530273
2025-08-20 11:15:00+00:00,315.85,315.88,314.63,314.65,1241752
2025-08-20 11:30:00+00:00,314.65,314.66,313.66,313.97,1982357
2025-08-20 11:45:00+00:00,313.97,314.0,313.81,313.99,894061
2025-08-20 12:00:00+00:00,313.99,314.25,313.86,313.88,1182507
2025-08-20 12:15:00+00:00,313.87,314.0,313.5,313.97,938543
2025-08-20 12:30:00+00:00,313.96,314.17,313.95,314.16,368177
2025-08-20 12:45:00+00:00,314.16,314.5,314.14,314.5,381484
2025-08-20 13:00:00+00:00,314.49,314.58,314.25,314.34,187477
2025-08-20 13:15:00+00:00,314.34,314.34,314.0,314.01,332909
2025-08-20 13:30:00+00:00,314.0,314.01,313.02,313.4,1320065
2025-08-20 13:45:00+00:00,313.4,313.48,313.03,313.31,514117
2025-08-20 14:00:00+00:00,313.28,313.42,313.12,313.42,439883
2025-08-20 14:15:00+00:00,313.41,313.5,313.25,313.46,498765
2025-08-20 14:30:00+00:00,313.46,313.59,313.45,313.51,171089
2025-08-20 14:45:00+00:00,313.51,313.88,313.5,313.83,300966
2025-08-20 15:00:00+00:00,313.83,314.43,313.7,314.42,326901
2025-08-20 15:15:00+00:00,314.41,314.64,314.35,314.38,569680
2025-08-20 15:30:00+00:00,314.39,314.41,314.3,314.34,121993
2025-08-20 15:45:00+00:00,314.66,314.66,314.66,314.66,121988
2025-08-20 16:00:00+00:00,314.59,314.59,314.13,314.37,144253
2025-08-20 16:15:00+00:00,314.36,314.47,314.18,314.44,175134
2025-08-20 16:30:00+00:00,314.44,314.46,313.67,313.8,269693
2025-08-20 16:45:00+00:00,313.82,313.82,313.52,313.75,204986
2025-08-20 17:00:00+00:00,313.75,313.85,313.5,313.6,177801
2025-08-20 17:15:00+00:00,313.6,313.83,313.6,313.71,41342
2025-08-20 17:30:00+00:00,313.73,313.76,313.65,313.67,61810
2025-08-20 17:45:00+00:00,313.7,313.7,313.55,313.62,83497
2025-08-20 18:00:00+00:00,313.63,313.74,313.56,313.74,58505
2025-08-20 18:15:00+00:00,313.73,314.23,313.73,314.08,248842
2025-08-20 18:30:00+00:00,314.08,314.13,313.86,314.02,103532
2025-08-20 18:45:00+00:00,314.02,314.05,314.0,314.04,66517
2025-08-20 19:00:00+00:00,314.05,314.07,314.0,314.06,51520
2025-08-20 19:15:00+00:00,314.06,314.29,314.05,314.29,120539
2025-08-20 19:30:00+00:00,314.29,314.29,314.13,314.17,34239
2025-08-20 19:45:00+00:00,314.17,314.21,314.11,314.12,17320
2025-08-20 20:00:00+00:00,314.12,314.2,314.11,314.12,64420
2025-08-20 20:15:00+00:00,314.12,314.28,314.11,314.27,105571
2025-08-20 20:30:00+00:00,314.27,314.47,314.27,314.31,132147
2025-08-20 20:45:00+00:00,314.31,314.44,314.11,314.17,65496
2025-08-21 03:45:00+00:00,314.17,314.17,314.17,314.17,4456
2025-08-21 04:00:00+00:00,314.17,314.75,314.11,314.17,128399
2025-08-21 04:15:00+00:00,314.14,314.62,314.11,314.6,57087
2025-08-21 04:30:00+00:00,314.62,314.72,314.37,314.69,50139
2025-08-21 04:45:00+00:00,314.69,314.83,314.63,314.8,75493
2025-08-21 05:00:00+00:00,314.8,314.8,314.18,314.18,66049
2025-08-21 05:15:00+00:00,314.18,314.75,314.16,314.74,57691
2025-08-21 05:30:00+00:00,314.74,314.75,314.43,314.49,30273
2025-08-21 05:45:00+00:00,314.49,314.52,313.71,314.1,212234
2025-08-21 06:00:00+00:00,314.09,314.48,314.03,314.12,110381
2025-08-21 06:15:00+00:00,314.13,314.31,314.1,314.28,34893
2025-08-21 06:30:00+00:00,314.28,314.38,314.12,314.12,65576
2025-08-21 06:45:00+00:00,314.13,314.2,313.59,313.62,152056
2025-08-21 07:00:00+00:00,313.62,313.83,313.22,313.59,601149
2025-08-21 07:15:00+00:00,313.59,313.76,313.13,313.26,333265
2025-08-21 07:30:00+00:00,313.26,313.34,312.8,312.86,576747
2025-08-21 07:45:00+00:00,312.84,313.14,312.83,312.91,392445
2025-08-21 08:00:00+00:00,312.93,313.01,312.46,312.75,789910
2025-08-21 08:15:00+00:00,312.75,312.92,312.62,312.79,297190
2025-08-21 08:30:00+00:00,312.79,313.39,312.62,313.35,530059
2025-08-21 08:45:00+00:00,313.35,313.82,313.22,313.42,278929
2025-08-21 09:00:00+00:00,313.43,314.06,312.77,314.06,717660
2025-08-21 09:15:00+00:00,314.06,314.35,313.9,314.0,378575
2025-08-21 09:30:00+00:00,314.01,314.32,313.72,314.3,280747
2025-08-21 09:45:00+00:00,314.31,315.1,314.3,314.89,764045
