begin,open,close,high,low,value,volume,end
2025-08-20 06:50:00,698.4,698.4,698.4,698.4,255614.4,366,2025-08-20 06:59:59
2025-08-20 07:00:00,698.6,701.2,702.5,698.6,15823972.3,22568,2025-08-20 07:09:59
2025-08-20 07:10:00,701.2,701.6,701.6,700.3,1779047.0999999999,2538,2025-08-20 07:19:59
2025-08-20 07:20:00,701.6,700.8,701.6,700.3,3994325.5,5701,2025-08-20 07:29:59
2025-08-20 07:30:00,700.9,700.5,700.9,700.5,989894.0,1413,2025-08-20 07:39:59
2025-08-20 07:40:00,700.7,700.3,700.7,700.3,897848.6000000002,1282,2025-08-20 07:49:59
2025-08-20 07:50:00,700.3,700.0,700.3,700.0,1155984.9000000001,1651,2025-08-20 07:59:59
2025-08-20 08:00:00,700.1,700.3,700.3,700.0,623822.5999999999,891,2025-08-20 08:09:59
2025-08-20 08:10:00,700.3,699.7,700.3,699.2,2820194.6999999997,4031,2025-08-20 08:19:59
2025-08-20 08:20:00,699.6,699.3,699.7,699.2,400072.2,572,2025-08-20 08:29:59
2025-08-20 08:30:00,699.2,699.2,699.3,699.0,461458.5,660,2025-08-20 08:39:59
2025-08-20 08:40:00,699.2,699.3,699.3,698.6,3716164.6999999997,5317,2025-08-20 08:49:59
2025-08-20 08:50:00,699.3,699.1,699.3,699.0,1078649.2999999998,1543,2025-08-20 08:59:59
2025-08-20 09:00:00,699.1,698.5,699.1,698.0,10103441.999999996,14469,2025-08-20 09:09:59
2025-08-20 09:10:00,698.9,699.5,699.5,698.8,1152852.9999999998,1649,2025-08-20 09:19:59
2025-08-20 09:20:00,699.5,699.6,699.7,699.4,3937153.0000000005,5627,2025-08-20 09:29:59
2025-08-20 09:30:00,699.7,700.7,700.7,699.5,12087271.1,17272,2025-08-20 09:39:59
2025-08-20 09:40:00,700.6,700.8,700.9,700.1,3000094.7,4282,2025-08-20 09:49:59
2025-08-20 09:50:00,700.8,701.1,701.1,700.7,2652490.4999999995,3784,2025-08-20 09:59:59
2025-08-20 10:00:00,701.0,700.2,701.2,699.9,14973094.899999997,21368,2025-08-20 10:09:59
2025-08-20 10:10:00,700.2,700.5,701.9,699.5,20786027.700000003,29668,2025-08-20 10:19:59
2025-08-20 10:20:00,700.6,699.1,700.7,698.6,14321848.900000002,20473,2025-08-20 10:29:59
2025-08-20 10:30:00,699.0,698.1,699.3,697.4,20942374.100000005,30001,2025-08-20 10:39:59
2025-08-20 10:40:00,698.4,699.3,699.5,698.3,2171474.8000000003,3106,2025-08-20 10:49:59
2025-08-20 10:50:00,699.3,698.9,699.8,698.8,3468917.3000000003,4960,2025-08-20 10:59:59
2025-08-20 11:00:00,698.9,698.4,699.0,697.9,10485876.100000009,15015,2025-08-20 11:09:59
2025-08-20 11:10:00,698.7,700.3,701.3,698.5,18513727.1,26442,2025-08-20 11:19:59
2025-08-20 11:20:00,700.3,700.3,700.6,699.6,2173616.6999999997,3104,2025-08-20 11:29:59
2025-08-20 11:30:00,700.2,700.3,701.0,700.0,6921780.499999998,9882,2025-08-20 11:39:59
2025-08-20 11:40:00,700.3,702.5,702.9,700.2,18822443.9,26826,2025-08-20 11:49:59
2025-08-20 11:50:00,702.5,702.3,702.5,701.1,7147316.0,10184,2025-08-20 11:59:59
2025-08-20 12:00:00,702.3,701.8,703.5,701.4,11408373.299999999,16240,2025-08-20 12:09:59
2025-08-20 12:10:00,701.8,701.5,701.9,701.0,9108279.000000002,12988,2025-08-20 12:19:59
2025-08-20 12:20:00,701.3,701.1,701.4,701.0,2956643.5999999996,4217,2025-08-20 12:29:59
2025-08-20 12:30:00,701.1,700.3,701.1,699.6,18532849.6,26470,2025-08-20 12:39:59
2025-08-20 12:40:00,700.3,699.9,700.9,699.7,6893756.2,9847,2025-08-20 12:49:59
2025-08-20 12:50:00,699.8,699.7,699.9,699.5,792024.5000000001,1132,2025-08-20 12:59:59
2025-08-20 13:00:00,699.7,699.5,700.0,699.2,5698246.0,8141,2025-08-20 13:09:59
2025-08-20 13:10:00,699.5,700.0,700.0,699.4,3225799.1999999997,4610,2025-08-20 13:19:59
2025-08-20 13:20:00,700.0,699.5,700.0,699.4,1015710.7999999999,1452,2025-08-20 13:29:59
2025-08-20 13:30:00,699.5,699.8,700.0,699.4,3389344.3999999994,4843,2025-08-20 13:39:59
2025-08-20 13:40:00,699.8,699.2,700.0,698.7,5662534.199999999,8099,2025-08-20 13:49:59
2025-08-20 13:50:00,699.1,699.0,699.6,698.9,14567345.5,20837,2025-08-20 13:59:59
2025-08-20 14:00:00,698.9,699.5,699.9,698.6,11083153.5,15848,2025-08-20 14:09:59
2025-08-20 14:10:00,699.5,699.9,700.0,699.3,5853318.899999999,8363,2025-08-20 14:19:59
2025-08-20 14:20:00,699.7,698.3,700.0,698.2,13208760.6,18897,2025-08-20 14:29:59
2025-08-20 14:30:00,698.2,699.0,699.0,696.5,41278446.8,59165,2025-08-20 14:39:59
2025-08-20 14:40:00,699.1,699.9,699.9,698.3,10915357.4,15608,2025-08-20 14:49:59
2025-08-20 14:50:00,699.9,698.9,700.0,698.8,20482351.700000003,29275,2025-08-20 14:59:59
2025-08-20 15:00:00,698.9,698.2,699.0,698.1,15457248.799999999,22135,2025-08-20 15:09:59
2025-08-20 15:10:00,698.2,695.5,698.4,693.1,74466521.19999999,107062,2025-08-20 15:19:59
2025-08-20 15:20:00,695.4,696.0,696.5,694.6,38389259.79999999,55189,2025-08-20 15:29:59
2025-08-20 15:30:00,696.0,695.7,696.0,695.6,4676012.6,6719,2025-08-20 15:39:59
2025-08-20 15:40:00,695.7,696.0,696.0,695.7,10210067.9,14670,2025-08-20 15:49:59
2025-08-20 15:50:00,696.0,696.0,696.0,695.7,5348960.5,7686,2025-08-20 15:59:59
2025-08-20 16:00:00,696.0,696.0,696.9,695.8,24310991.8,34922,2025-08-20 16:09:59
2025-08-20 16:10:00,696.0,696.9,697.0,695.9,3844775.6000000006,5521,2025-08-20 16:19:59
2025-08-20 16:20:00,697.0,696.4,697.0,695.6,11969940.400000002,17198,2025-08-20 16:29:59
2025-08-20 16:30:00,696.3,692.8,696.3,692.5,60532077.89999999,87239,2025-08-20 16:39:59
2025-08-20 16:40:00,692.9,694.6,694.9,691.5,60130618.09999998,86787,2025-08-20 16:49:59
2025-08-20 16:50:00,694.6,694.3,694.6,692.6,14805657.399999999,21340,2025-08-20 16:59:59
2025-08-20 17:00:00,694.4,693.0,694.8,693.0,13236820.9,19071,2025-08-20 17:09:59
