begin,open,close,high,low,value,volume,end
2025-08-20 06:50:00,347.5,347.5,347.5,347.5,112590.0,324,2025-08-20 06:59:59
2025-08-20 07:00:00,347.5,347.6,348.4,346.5,4910990.6,14134,2025-08-20 07:09:59
2025-08-20 07:10:00,347.8,348.6,349.0,347.8,6297082.799999999,18065,2025-08-20 07:19:59
2025-08-20 07:20:00,348.5,348.9,348.9,348.0,2127718.6,6105,2025-08-20 07:29:59
2025-08-20 07:30:00,348.9,347.6,348.9,347.6,1516762.0,4355,2025-08-20 07:39:59
2025-08-20 07:40:00,347.6,348.2,348.2,347.5,2607148.8,7496,2025-08-20 07:49:59
2025-08-20 07:50:00,347.9,348.6,348.7,347.6,6578954.9,18902,2025-08-20 07:59:59
2025-08-20 08:00:00,348.3,348.7,349.2,348.3,4047502.8000000003,11600,2025-08-20 08:09:59
2025-08-20 08:10:00,348.7,348.6,348.8,348.2,1449182.0999999999,4158,2025-08-20 08:19:59
2025-08-20 08:20:00,348.6,347.9,348.6,347.8,820325.9,2356,2025-08-20 08:29:59
2025-08-20 08:30:00,347.8,348.8,348.9,347.7,2332473.4999999995,6697,2025-08-20 08:39:59
2025-08-20 08:40:00,348.9,348.8,348.9,348.7,1060719.9,3041,2025-08-20 08:49:59
2025-08-20 08:50:00,348.7,348.7,348.8,348.5,1275396.8,3658,2025-08-20 08:59:59
2025-08-20 09:00:00,348.6,347.4,348.7,347.1,5008518.999999999,14406,2025-08-20 09:09:59
2025-08-20 09:10:00,347.5,348.4,348.5,347.5,4788543.9,13766,2025-08-20 09:19:59
2025-08-20 09:20:00,348.4,348.6,349.0,348.2,7140076.499999998,20478,2025-08-20 09:29:59
2025-08-20 09:30:00,348.5,348.5,348.9,348.4,4217972.700000003,12100,2025-08-20 09:39:59
2025-08-20 09:40:00,348.5,348.6,348.6,348.4,2053273.5999999999,5892,2025-08-20 09:49:59
2025-08-20 09:50:00,348.7,348.7,348.9,348.4,436599.3,1252,2025-08-20 09:59:59
2025-08-20 10:00:00,348.7,347.7,348.8,347.7,5893156.800000001,16930,2025-08-20 10:09:59
2025-08-20 10:10:00,347.9,347.5,348.2,347.2,11396539.6,32784,2025-08-20 10:19:59
2025-08-20 10:20:00,347.4,347.5,347.9,347.2,5783113.899999999,16638,2025-08-20 10:29:59
2025-08-20 10:30:00,347.4,347.0,347.8,346.2,16937177.7,48805,2025-08-20 10:39:59
2025-08-20 10:40:00,347.0,347.5,347.5,346.9,2222135.1,6401,2025-08-20 10:49:59
2025-08-20 10:50:00,347.4,347.2,347.8,347.0,2565128.3,7385,2025-08-20 10:59:59
2025-08-20 11:00:00,347.0,348.3,348.3,347.0,7215452.700000001,20763,2025-08-20 11:09:59
2025-08-20 11:10:00,348.3,348.6,348.9,348.1,12025582.799999999,34501,2025-08-20 11:19:59
2025-08-20 11:20:00,348.7,348.2,348.7,348.2,3464745.5000000005,9945,2025-08-20 11:29:59
2025-08-20 11:30:00,348.2,348.7,348.7,348.2,2671865.7,7667,2025-08-20 11:39:59
2025-08-20 11:40:00,348.5,348.6,348.7,348.3,3564410.4999999995,10231,2025-08-20 11:49:59
2025-08-20 11:50:00,348.5,348.3,348.7,348.2,2525728.0999999996,7250,2025-08-20 11:59:59
2025-08-20 12:00:00,348.5,349.2,349.9,348.2,28167846.399999995,80657,2025-08-20 12:09:59
2025-08-20 12:10:00,349.3,349.1,349.4,348.8,5546603.3,15890,2025-08-20 12:19:59
2025-08-20 12:20:00,349.0,348.9,349.3,348.6,5785395.600000001,16579,2025-08-20 12:29:59
2025-08-20 12:30:00,348.9,348.8,349.0,348.3,5690038.1,16322,2025-08-20 12:39:59
2025-08-20 12:40:00,348.8,349.1,349.5,348.7,6731812.1000000015,19282,2025-08-20 12:49:59
2025-08-20 12:50:00,349.0,348.7,349.1,348.5,3257841.0,9340,2025-08-20 12:59:59
2025-08-20 13:00:00,348.5,348.8,349.0,348.5,6139633.300000001,17608,2025-08-20 13:09:59
2025-08-20 13:10:00,348.8,348.8,349.0,348.5,5509316.600000001,15793,2025-08-20 13:19:59
2025-08-20 13:20:00,348.7,348.6,348.9,348.6,1507569.2000000002,4324,2025-08-20 13:29:59
2025-08-20 13:30:00,348.6,349.0,349.0,348.6,1399127.9,4011,2025-08-20 13:39:59
2025-08-20 13:40:00,348.9,348.5,349.0,348.5,1744391.3,5004,2025-08-20 13:49:59
2025-08-20 13:50:00,348.4,347.9,348.4,347.6,18111135.1,52039,2025-08-20 13:59:59
2025-08-20 14:00:00,347.9,347.7,348.0,347.5,4526251.299999999,13016,2025-08-20 14:09:59
2025-08-20 14:10:00,347.7,347.3,347.9,347.2,7902215.4,22740,2025-08-20 14:19:59
2025-08-20 14:20:00,347.5,346.5,347.6,346.5,19301266.4,55617,2025-08-20 14:29:59
2025-08-20 14:30:00,346.5,346.3,346.8,345.6,30609042.2,88415,2025-08-20 14:39:59
2025-08-20 14:40:00,346.3,346.0,346.3,345.4,13229172.099999996,38262,2025-08-20 14:49:59
2025-08-20 14:50:00,346.0,346.5,346.7,345.8,4162439.3,12018,2025-08-20 14:59:59
2025-08-20 15:00:00,346.4,346.0,346.7,345.7,7570240.199999999,21866,2025-08-20 15:09:59
2025-08-20 15:10:00,345.7,345.3,346.3,345.3,15829286.400000006,45803,2025-08-20 15:19:59
2025-08-20 15:20:00,345.3,346.1,346.2,345.2,8774165.2,25388,2025-08-20 15:29:59
2025-08-20 15:30:00,346.0,346.1,346.5,345.7,5627815.600000001,16257,2025-08-20 15:39:59
2025-08-20 15:40:00,346.1,347.4,348.0,346.1,25378722.099999994,73068,2025-08-20 15:49:59
2025-08-20 15:50:00,347.7,347.6,347.7,347.0,5527509.0,15918,2025-08-20 15:59:59
2025-08-20 16:00:00,347.7,347.1,347.7,346.9,3321711.1,9568,2025-08-20 16:09:59
2025-08-20 16:10:00,347.2,346.9,347.2,346.4,2300164.3,6634,2025-08-20 16:19:59
2025-08-20 16:20:00,346.8,346.7,347.1,346.7,1568828.1999999997,4523,2025-08-20 16:29:59
2025-08-20 16:30:00,346.7,346.0,346.8,345.6,11674646.8,33725,2025-08-20 16:39:59
2025-08-20 16:40:00,346.3,345.7,346.3,345.5,13928827.899999999,40284,2025-08-20 16:49:59
2025-08-20 16:50:00,345.7,345.3,345.8,345.1,10239649.8,29649,2025-08-20 16:59:59
2025-08-20 17:00:00,345.2,343.2,345.4,343.1,54086097.80000001,157191,2025-08-20 17:09:59
2025-08-20 17:10:00,343.2,344.4,344.4,343.1,10701259.799999991,31104,2025-08-20 17:19:59
2025-08-20 17:20:00,344.4,344.0,344.5,343.2,9369516.1,27257,2025-08-20 17:29:59
2025-08-20 17:30:00,343.8,344.1,344.5,343.7,7099982.999999999,20630,2025-08-20 17:39:59
2025-08-20 17:40:00,344.1,344.2,344.4,343.7,4413382.2,12824,2025-08-20 17:49:59
2025-08-20 17:50:00,344.2,344.0,344.4,343.8,2025952.1999999997,5887,2025-08-20 17:59:59
2025-08-20 18:00:00,344.1,344.9,344.9,343.8,7354839.999999999,21347,2025-08-20 18:09:59
2025-08-20 18:10:00,344.7,345.6,346.1,344.7,17718587.1,51271,2025-08-20 18:19:59
2025-08-20 18:20:00,345.7,345.3,346.0,345.1,4165833.7,12053,2025-08-20 18:29:59
2025-08-20 18:30:00,345.3,345.6,346.0,345.3,4448575.1,12874,2025-08-20 18:39:59
2025-08-20 18:40:00,346.2,346.2,346.2,346.2,1259475.6,3638,2025-08-20 18:49:59
2025-08-20 19:00:00,346.0,345.4,346.3,345.4,2976314.2000000007,8610,2025-08-20 19:09:59
2025-08-20 19:10:00,345.5,345.0,345.5,344.7,3971762.2999999993,11513,2025-08-20 19:19:59
2025-08-20 19:20:00,345.0,344.9,345.1,344.4,5015482.899999999,14553,2025-08-20 19:29:59
2025-08-20 19:30:00,344.7,344.8,345.7,344.7,7529957.5,21809,2025-08-20 19:39:59
2025-08-20 19:40:00,344.8,343.7,344.8,343.6,24599617.400000002,71504,2025-08-20 19:49:59
2025-08-20 19:50:00,343.7,344.2,344.2,343.5,8274658.099999999,24067,2025-08-20 19:59:59
2025-08-20 20:00:00,344.3,344.0,344.3,343.5,8043401.600000001,23396,2025-08-20 20:09:59
2025-08-20 20:10:00,343.9,344.4,344.7,343.6,5589979.4,16241,2025-08-20 20:19:59
2025-08-20 20:20:00,344.4,344.7,344.7,344.2,2873423.9999999995,8342,2025-08-20 20:29:59
2025-08-20 20:30:00,344.7,344.6,344.9,344.4,1468763.5000000002,4262,2025-08-20 20:39:59
2025-08-20 20:40:00,344.6,344.8,344.8,344.4,477011.0,1384,2025-08-20 20:49:59
2025-08-20 20:50:00,344.6,344.4,344.8,344.2,1060333.3,3078,2025-08-20 20:59:59
