begin,open,close,high,low,value,volume,end
2024-08-12 09:50:00,280.01,280.01,280.01,280.01,36342497.900000036,129790,2024-08-12 09:59:59
2024-08-12 10:00:00,280.17,279.78,281.5,279.77,580792467.1999997,2072130,2024-08-12 10:09:59
2024-08-12 10:10:00,279.78,279.31,279.88,279.0,627521067.1999998,2246740,2024-08-12 10:19:59
2024-08-12 10:20:00,279.31,279.04,279.55,278.71,261221403.90000007,935990,2024-08-12 10:29:59
2024-08-12 10:30:00,279.04,278.73,279.04,278.19,325233414.8000003,1167430,2024-08-12 10:39:59
2024-08-12 10:40:00,278.72,279.36,279.5,278.38,408672326.69999975,1465280,2024-08-12 10:49:59
2024-08-12 10:50:00,279.41,279.23,279.42,278.45,198767978.20000002,712640,2024-08-12 10:59:59
2024-08-12 11:00:00,279.24,279.35,279.5,279.12,99620776.59999996,356600,2024-08-12 11:09:59
2024-08-12 11:10:00,279.35,279.26,279.38,278.82,110847218.5000002,397150,2024-08-12 11:19:59
2024-08-12 11:20:00,279.27,278.62,279.32,278.62,91254945.39999999,327100,2024-08-12 11:29:59
2024-08-12 11:30:00,278.63,278.52,278.86,278.51,99383839.2,356680,2024-08-12 11:39:59
2024-08-12 11:40:00,278.52,278.96,279.02,278.49,109519919.30000001,392940,2024-08-12 11:49:59
2024-08-12 11:50:00,278.96,278.51,278.96,278.21,168429459.29999992,604860,2024-08-12 11:59:59
2024-08-12 12:00:00,278.5,278.51,278.7,278.03,249251326.50000003,895740,2024-08-12 12:09:59
2024-08-12 12:10:00,278.52,278.85,278.99,278.5,114587124.89999998,411130,2024-08-12 12:19:59
2024-08-12 12:20:00,278.85,279.1,279.21,278.83,126002140.40000005,451580,2024-08-12 12:29:59
2024-08-12 12:30:00,279.1,279.18,279.21,279.01,91746353.00000003,328690,2024-08-12 12:39:59
2024-08-12 12:40:00,279.17,278.96,279.31,278.88,74715789.39999999,267650,2024-08-12 12:49:59
2024-08-12 12:50:00,278.96,279.16,279.2,278.82,78669604.69999999,281910,2024-08-12 12:59:59
2024-08-12 13:00:00,279.16,279.09,279.16,279.01,36704366.4,131500,2024-08-12 13:09:59
2024-08-12 13:10:00,279.08,278.93,279.1,278.79,71064891.89999999,254780,2024-08-12 13:19:59
2024-08-12 13:20:00,278.92,279.18,279.25,278.92,59352157.8,212650,2024-08-12 13:29:59
2024-08-12 13:30:00,279.18,279.65,279.67,279.17,183720763.29999998,657530,2024-08-12 13:39:59
2024-08-12 13:40:00,279.66,279.73,280.0,279.45,226150071.8,808230,2024-08-12 13:49:59
2024-08-12 13:50:00,279.73,279.65,279.9,279.52,43320044.699999996,154860,2024-08-12 13:59:59
2024-08-12 14:00:00,279.67,279.59,279.73,279.36,60486401.999999985,216350,2024-08-12 14:09:59
2024-08-12 14:10:00,279.58,280.34,280.43,279.56,227773091.40000013,813100,2024-08-12 14:19:59
2024-08-12 14:20:00,280.34,280.04,280.54,279.89,117081621.59999987,417700,2024-08-12 14:29:59
